Section,Domain,Dimension,Risk_Factor_ID,Risk_Factor,Question,Response_Type,Response_Units,Fallback_Scale,Business_Model_Specific,Geography_Specific,Risk_Metrics_Influenced
Risk Assessment,Enablers,Brand,BRAND-004a,Brand Consistency Audit Score,What is your brand consistency audit score?,Score (0-100),Score,Yes - 1-5 scale,Yes - Franchise models,No,"Reputation at Risk, Revenue at Risk"
Risk Assessment,Enablers,Brand,BRAND-004b,Brand Guideline Violations,How many brand guideline violations occurred in the past 12 months?,Number,Count,No,Yes - Franchise models,No,"Reputation at Risk, Revenue at Risk"
Risk Assessment,Enablers,Culture,CULTURE-001a,Employee Engagement Score,What is your employee engagement score?,Percentage,%,Yes - 1-5 scale,No,No,"Productivity Time at Risk, Opex at Risk"
Risk Assessment,Enablers,Culture,CULTURE-001b,Employee Turnover Rate,What is your annual employee turnover rate?,Percentage,%,No,No,No,"Opex at Risk, Productivity Time at Risk"
Risk Assessment,Enablers,Culture,CULTURE-002a,Strategy Articulation,What percentage of employees can articulate your company strategy?,Percentage,%,Yes - 1-5 scale,No,No,"Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Culture,CULTURE-002b,Cultural Barriers,How many cultural barriers have been identified to strategy execution?,Number,Count,No,No,No,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Enablers,Culture,CULTURE-003a,Leadership Effectiveness Score,What is your leadership effectiveness score (360 review)?,Score (0-100),Score,Yes - 1-5 scale,No,No,"Productivity Time at Risk, Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Culture,CULTURE-003b,Leadership Turnover Rate,What is your annual leadership turnover rate?,Percentage,%,No,No,No,"Productivity Time at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Culture,CULTURE-004a,Decision Implementation Time,What is the average time to implement strategic decisions?,Number (months),Months,Yes - 1-5 scale,No,No,"Stratex at Risk, Revenue at Risk"
Risk Assessment,Enablers,Culture,CULTURE-004b,Organizational Layers,How many organizational layers exist in your structure?,Number,Count,No,No,No,"Productivity Time at Risk, Stratex at Risk"
Risk Assessment,Enablers,Technology,TECH-001a,System Uptime,What is your annual average system uptime?,Percentage,%,Yes - 1-5 scale,No,No,"Service Availability at Risk, Productivity Time at Risk, Opex at Risk"
Risk Assessment,Enablers,Technology,TECH-001b,Critical System Failures,How many critical system failures occurred in the past 12 months?,Number,Count,No,No,No,"Service Availability at Risk, Opex at Risk"
Risk Assessment,Enablers,Technology,TECH-002a,Security Incidents,How many security incidents occurred in the past 12 months?,Number,Count,No,No,No,"Opex at Risk, Capex at Risk, Reputation at Risk"
Risk Assessment,Enablers,Technology,TECH-002b,Security Patch Coverage,What percentage of systems have current security patches?,Percentage,%,Yes - 1-5 scale,No,No,"Opex at Risk, Reputation at Risk"
Risk Assessment,Enablers,Technology,TECH-003a,Technical Debt Percentage,What percentage of your codebase represents technical debt?,Percentage,%,Yes - 1-5 scale,Yes - Tech/SaaS models,No,"Capex at Risk, Opex at Risk, Service Availability at Risk"
Risk Assessment,Enablers,Technology,TECH-003b,Legacy Systems Count,How many legacy systems beyond vendor support do you have?,Number,Count,No,Yes - Tech/SaaS models,No,"Capex at Risk, Service Availability at Risk"
Risk Assessment,Enablers,Technology,TECH-004a,Technology Innovation Budget,What percentage of IT spend is allocated to innovation?,Percentage,%,No,Yes - Tech-dependent,No,"Stratex at Risk, Revenue at Risk"
Risk Assessment,Enablers,Technology,TECH-004b,New Technologies Adopted,How many new technologies were adopted in the past 12 months?,Number,Count,No,Yes - Tech-dependent,No,"Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,People,PEOPLE-001a,Key Person Dependencies,How many roles have single-person dependencies?,Number,Count,No,No,No,"Productivity Time at Risk, Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,People,PEOPLE-001b,Critical Knowledge Documentation,What percentage of critical knowledge is documented?,Percentage,%,Yes - 1-5 scale,No,No,"Productivity Time at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,People,PEOPLE-002a,Employee Retention Rate,What is your annual employee retention rate?,Percentage,%,No,No,No,"Opex at Risk, Productivity Time at Risk, Revenue at Risk"
Risk Assessment,Enablers,People,PEOPLE-002b,High Performer Retention,What is your retention rate for high performers?,Percentage,%,Yes - 1-5 scale,No,No,"Revenue at Risk, Productivity Time at Risk"
Risk Assessment,Enablers,People,PEOPLE-003a,Critical Skills Gaps,How many critical skills gaps have been identified?,Number,Count,No,Yes - Technical/Specialized,No,"Productivity Time at Risk, Revenue at Risk, Stratex at Risk"
Risk Assessment,Enablers,People,PEOPLE-003b,Time to Fill Skills Gaps,What is the average time to fill critical skill gaps?,Number (months),Months,Yes - 1-5 scale,Yes - Technical/Specialized,No,"Productivity Time at Risk, Stratex at Risk"
Risk Assessment,Enablers,People,PEOPLE-004a,Succession Plan Coverage,What percentage of key roles have succession plans?,Percentage,%,Yes - 1-5 scale,No,No,"Productivity Time at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,People,PEOPLE-004b,Successor Readiness Time,What is the average readiness time for successors?,Number (months),Months,Yes - 1-5 scale,No,No,"Productivity Time at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Third Parties,THIRD-001a,Single Source Suppliers,How many critical single-source suppliers do you have?,Number,Count,No,Yes - Manufacturing/B2B,No,"Opex at Risk, Product at Risk"
Risk Assessment,Enablers,Third Parties,THIRD-001b,Supplier Concentration,What percentage of spend is with your top supplier?,Percentage,%,No,Yes - Manufacturing/B2B,No,"Opex at Risk, Service Availability at Risk"
Risk Assessment,Enablers,Third Parties,THIRD-002a,Third-Party Disruptions,How many third-party service disruptions occurred in the past 12 months?,Number,Count,No,Yes - Cloud/SaaS dependent,No,"Service Availability at Risk, Opex at Risk"
Risk Assessment,Enablers,Third Parties,THIRD-002b,Third-Party SLA Compliance,What is the average third-party SLA compliance rate?,Percentage,%,Yes - 1-5 scale,Yes - Cloud/SaaS dependent,No,"Service Availability at Risk, Opex at Risk"
Risk Assessment,Enablers,Third Parties,THIRD-003a,Unfavorable Contracts,What percentage of contracts have unfavorable terms?,Percentage,%,Yes - 1-5 scale,No,No,"Opex at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Third Parties,THIRD-003b,Contract Disputes,How many contract disputes occurred in the past 12 months?,Number,Count,No,No,No,"Opex at Risk, Reputation at Risk"
Risk Assessment,Enablers,Third Parties,THIRD-004a,Third-Party Relationship Score,What is your third-party relationship satisfaction score?,Score (1-10),Score,Yes - 1-5 scale,Yes - Partnership models,No,"Opex at Risk, Revenue at Risk"
Risk Assessment,Enablers,Third Parties,THIRD-004b,Strategic Partnerships,How many strategic partnerships (vs total third parties) do you have?,Number ratio,Count ratio,No,Yes - Platform/Ecosystem,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Execution,Processes,PROCESS-001a,Process Efficiency,What is your overall process efficiency rating?,Percentage,%,Yes - 1-5 scale,Yes - Manufacturing/Operations,No,"Opex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Processes,PROCESS-001b,Cycle Time vs Benchmark,What is your average cycle time vs. industry benchmark?,Percentage (variance),% variance,Yes - 1-5 scale,Yes - Manufacturing/Operations,No,"Productivity Time at Risk, Opex at Risk"
Risk Assessment,Execution,Processes,PROCESS-002a,Process Documentation Coverage,What percentage of critical processes are documented?,Percentage,%,Yes - 1-5 scale,No,No,"Productivity Time at Risk, Enterprise Value at Risk"
Risk Assessment,Execution,Processes,PROCESS-002b,Documentation Currency,How many processes have outdated documentation?,Number,Count,No,No,No,"Productivity Time at Risk, Opex at Risk"
Risk Assessment,Execution,Processes,PROCESS-003a,Process Automation Rate,What percentage of processes are automated?,Percentage,%,Yes - 1-5 scale,Yes - High-volume operations,No,"Opex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Processes,PROCESS-003b,Manual Critical Processes,How many manual processes are in the critical path?,Number,Count,No,Yes - High-volume operations,No,"Productivity Time at Risk, Product/Service Quality"
Risk Assessment,Execution,Processes,PROCESS-004a,Compliance Review Coverage,What percentage of processes have been compliance-reviewed?,Percentage,%,Yes - 1-5 scale,Yes - Regulated industries,Yes - Varies by region,"Reputation at Risk, Opex at Risk"
Risk Assessment,Execution,Processes,PROCESS-004b,Compliance Violations,How many compliance violations occurred in the past 12 months?,Number,Count,No,Yes - Regulated industries,Yes - Varies by region,"Reputation at Risk, Opex at Risk"
Risk Assessment,Execution,Change,CHANGE-001a,Change Readiness Score,What is your change readiness assessment score?,Score (0-100),Score,Yes - 1-5 scale,No,No,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Change,CHANGE-001b,Change Training Coverage,What percentage of employees received change management training?,Percentage,%,Yes - 1-5 scale,No,No,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Change,CHANGE-002a,Change Success Rate,What is your change initiative success rate (past 12 months)?,Percentage,%,No,No,No,"Stratex at Risk, Capex at Risk"
Risk Assessment,Execution,Change,CHANGE-002b,Change Time Overrun,What is the average time overrun for change projects?,Percentage,% over planned,Yes - 1-5 scale,No,No,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Change,CHANGE-003a,Change Implementation Time,What is the average time from approval to implementation?,Number (weeks),Weeks,Yes - 1-5 scale,No,No,"Stratex at Risk, Revenue at Risk"
Risk Assessment,Execution,Change,CHANGE-003b,Change Backlog Size,How many change initiatives are pending in backlog?,Number,Count,No,No,No,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Change,CHANGE-004a,Stakeholder Acceptance Rate,What is the stakeholder change acceptance rate?,Percentage,%,Yes - 1-5 scale,No,Yes - Cultural differences,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Change,CHANGE-004b,Change Rollbacks,How many change rollbacks due to resistance occurred (past 12 months)?,Number,Count,No,No,Yes - Cultural differences,"Stratex at Risk, Opex at Risk"
Risk Assessment,Execution,Innovation,INNOV-001a,Innovation Spending,What is your annual R&D/innovation spending as a percentage of revenue?,Percentage,%,No,Yes - Tech/SaaS/Platform,No,"Stratex at Risk, Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Execution,Innovation,INNOV-001b,Innovation Initiatives,How many innovation initiatives are currently underway?,Number,Count,No,Yes - Tech/SaaS/Platform,No,"Stratex at Risk, Capex at Risk"
Risk Assessment,Execution,Innovation,INNOV-002a,Innovation Success Rate,What is your innovation success rate (past 3 years)?,Percentage,%,Yes - 1-5 scale,Yes - Tech/SaaS/Platform,No,"Stratex at Risk, Revenue at Risk"
Risk Assessment,Execution,Innovation,INNOV-002b,Time to Market,What is your average time from concept to market?,Number (months),Months,No,Yes - Product-based,No,"Revenue at Risk, Stratex at Risk"
Risk Assessment,Execution,Innovation,INNOV-003a,R&D ROI,What is your R&D return on investment?,Percentage,%,Yes - 1-5 scale,Yes - Product/Tech companies,No,"Stratex at Risk, Capex at Risk"
Risk Assessment,Execution,Innovation,INNOV-003b,Patents Generated,How many patents/IP were generated in the past 3 years?,Number,Count,No,Yes - Tech/IP-based,No,"Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Execution,Innovation,INNOV-004a,Market Response Time,What is your time to respond to market changes?,Number (months),Months,Yes - 1-5 scale,No,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Execution,Innovation,INNOV-004b,Revenue from New Products,What percentage of revenue comes from products launched in past 3 years?,Percentage,%,No,Yes - Product-based,No,"Revenue at Risk, Innovation Success"
Risk Assessment,Execution,Products & Services,PRODUCT-001a,Defect Rate,What is your product/service defect rate?,Percentage or per thousand,%,No,Yes - Manufacturing/Product,No,"Product at Risk, Reputation at Risk"
Risk Assessment,Execution,Products & Services,PRODUCT-001b,Return/Refund Rate,What is your return/refund rate?,Percentage,%,No,Yes - Product-based,No,"Revenue at Risk, Reputation at Risk"
Risk Assessment,Execution,Products & Services,PRODUCT-002a,Market Share,What is your market share in your primary segment?,Percentage,%,Yes - 1-5 scale,No,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Execution,Products & Services,PRODUCT-002b,LTV to CAC Ratio,What is your customer lifetime value to customer acquisition cost ratio?,Ratio,Ratio (X:1),Yes - 1-5 scale,Yes - SaaS/Subscription,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Execution,Products & Services,PRODUCT-003a,Average Product Lifecycle,What is your average product lifecycle?,Number (years),Years,Yes - 1-5 scale,Yes - Product-based,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Execution,Products & Services,PRODUCT-003b,Products in Decline,How many products are in decline phase (of total products)?,Number ratio,Count ratio,No,Yes - Product-based,No,"Revenue at Risk, Stratex at Risk"
Risk Assessment,Execution,Products & Services,PRODUCT-004a,Market Position Ranking,What is your market position ranking?,Rank number,Rank #,Yes - 1-5 scale,No,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Execution,Products & Services,PRODUCT-004b,Competitive Win Rate,What is your competitive win rate?,Percentage,%,Yes - 1-5 scale,No,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Annual Results,RESULTS-001a,Revenue Variance,What is your average annual revenue variance?,Percentage,%,No,Yes - Subscription advantage,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Annual Results,RESULTS-001b,Recurring Revenue,What percentage of your revenue is recurring?,Percentage,%,No,Yes - Subscription models,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Annual Results,RESULTS-002a,Net Profit Margin,What is your net profit margin?,Percentage,%,No,No,No,"Opex at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Annual Results,RESULTS-002b,Cash Burn Rate,What is your monthly cash burn rate (if applicable)?,Currency ($),$ per month,N/A for profitable,No,No,"Opex at Risk, Capex at Risk"
Risk Assessment,Value,Annual Results,RESULTS-003a,Operating Cash Flow,What is your annual operating cash flow?,Currency ($),$,Yes - 1-5 scale,No,No,"Opex at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Annual Results,RESULTS-003b,Cash Conversion Cycle,What is your cash conversion cycle?,Number (days),Days,Yes - 1-5 scale,Yes - Varies by model,No,"Opex at Risk, Working Capital"
Risk Assessment,Value,Annual Results,RESULTS-004a,Revenue Growth Rate,What is your year-over-year revenue growth rate?,Percentage,%,No,No,Yes - Market growth varies,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Annual Results,RESULTS-004b,Customer Growth Rate,What is your year-over-year customer growth rate?,Percentage,%,No,No,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Strategic Goals,GOALS-001a,Goal Achievement Rate,What is your strategic goal achievement rate (current year)?,Percentage,%,No,No,No,"Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Strategic Goals,GOALS-001b,Goals Behind Schedule,How many strategic goals are behind schedule?,Number,Count,No,No,No,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Value,Strategic Goals,GOALS-002a,Strategy Understanding,What percentage of employees understand the top 3 strategic priorities?,Percentage,%,Yes - 1-5 scale,No,No,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Value,Strategic Goals,GOALS-002b,Strategic Pivots,How many strategic pivots occurred in the past 3 years?,Number,Count,No,No,No,"Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Strategic Goals,GOALS-003a,Resource Alignment,What percentage of resources are aligned to strategic priorities?,Percentage,%,Yes - 1-5 scale,No,No,"Stratex at Risk, Opex at Risk, Capex at Risk"
Risk Assessment,Value,Strategic Goals,GOALS-003b,Under-Resourced Initiatives,How many strategic initiatives are under-resourced?,Number,Count,No,No,No,"Stratex at Risk, Capex at Risk"
Risk Assessment,Value,Strategic Goals,GOALS-004a,Milestones On Track,How many milestones are on track (of total milestones)?,Number ratio,Count ratio,No,No,No,"Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Strategic Goals,GOALS-004b,Milestone Completion Variance,What is the average milestone completion variance?,Percentage,% behind/ahead,Yes - 1-5 scale,No,No,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Value,Reputation,REPUTATION-001a,Customer Satisfaction Score,What is your customer satisfaction (CSAT) score?,Percentage,%,Yes - 1-5 scale,No,No,"Reputation at Risk, Revenue at Risk"
Risk Assessment,Value,Reputation,REPUTATION-001b,Customer Churn Rate,What is your annual customer churn rate?,Percentage,%,No,Yes - Subscription models,No,"Revenue at Risk, Reputation at Risk"
Risk Assessment,Value,Reputation,REPUTATION-002a,Online Reputation Rating,What is your average online reputation rating?,Rating (1-5 scale),Rating out of 5,No,No,No,"Reputation at Risk, Revenue at Risk"
Risk Assessment,Value,Reputation,REPUTATION-002b,Negative Media Mentions,What percentage of media mentions are negative?,Percentage,%,Yes - 1-5 scale,No,No,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Reputation,REPUTATION-003a,Crisis Plan Last Updated,When was your crisis management plan last updated and tested?,Date,MM/YYYY,Yes - 1-5 scale,No,No,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Reputation,REPUTATION-003b,Crisis Scenarios Documented,How many potential crisis scenarios are documented?,Number,Count,Yes - 1-5 scale,No,No,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Reputation,REPUTATION-004a,ESG Rating,What is your ESG rating (if available)?,Rating,Rating + Agency,Yes - 1-5 scale,No,Yes - ESG expectations vary,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Reputation,REPUTATION-004b,ESG/CSR Incidents,How many ESG/CSR incidents occurred in the past 12 months?,Number,Count,No,No,Yes - ESG expectations vary,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Financials,FINANCIAL-001a,Current Ratio,What is your current ratio?,Ratio,Ratio,Yes - 1-5 scale,No,No,"Opex at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Financials,FINANCIAL-001b,Cash Runway,How many months of cash runway do you have?,Number (months),Months,No,No,Yes - Currency stability varies,"Capex at Risk, Opex at Risk"
Risk Assessment,Economics,Financials,FINANCIAL-002a,Current Cash Balance,What is your current cash and equivalents balance?,Currency ($),$,No,No,Yes - Funding availability varies,"Capex at Risk, Stratex at Risk"
Risk Assessment,Economics,Financials,FINANCIAL-002b,Available Credit,What is your total available credit?,Currency ($),$,Yes - 1-5 scale,No,Yes - Credit access varies,"Capex at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Financials,FINANCIAL-003a,Debt to EBITDA Ratio,What is your total debt as a multiple of EBITDA?,Ratio,Ratio (X times),Yes - 1-5 scale,No,Yes - Debt markets vary,"Opex at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Financials,FINANCIAL-003b,Debt Maturing Soon,What percentage of debt is maturing in the next 12 months?,Percentage,%,Yes - 1-5 scale,No,Yes - Refinancing varies,"Opex at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Financials,FINANCIAL-004a,Audit Findings,How many audit findings were in the most recent audit?,Number,Count,Yes - 1-5 scale,Yes - Public companies,Yes - Requirements vary,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Financials,FINANCIAL-004b,Control Documentation,What percentage of financial processes have documented controls?,Percentage,%,Yes - 1-5 scale,Yes - Public companies,Yes - Requirements vary,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Business Model,BUSMODEL-001a,Years with Current Model,How many years have you operated with your current business model?,Number (years),Years,No,Yes - Varies by model,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Business Model,BUSMODEL-001b,Business Model Adaptations,How many times have you successfully adapted your business model (past 3 years)?,Number,Count,No,Yes - Varies by model,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Business Model,BUSMODEL-002a,Largest Customer Revenue,What percentage of revenue comes from your largest customer?,Percentage,%,No,No,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Business Model,BUSMODEL-002b,Revenue Stream Count,How many distinct revenue streams do you have?,Number,Count,No,No,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Business Model,BUSMODEL-003a,Pricing Premium/Discount,What is your pricing vs. competitors (premium/discount)?,Percentage,% premium or discount,Yes - 1-5 scale,Yes - Platform/Marketplace,No,"Revenue at Risk, Opex at Risk"
Risk Assessment,Economics,Business Model,BUSMODEL-003b,Price Increase Churn,What was the churn from your last price increase?,Percentage,%,Yes - 1-5 scale,No,No,"Revenue at Risk, Customer Satisfaction"
Risk Assessment,Economics,Business Model,BUSMODEL-004a,Revenue Per Employee,What is your revenue per employee?,Currency ($),$,Yes - 1-5 scale,Yes - SaaS/Platform advantage,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Business Model,BUSMODEL-004b,Capacity Utilization,What is your current capacity utilization?,Percentage,%,Yes - 1-5 scale,Yes - Manufacturing/Production,No,"Revenue at Risk, Capex at Risk"
Risk Assessment,Economics,External Environment,EXTERNAL-001a,Market Growth Rate,What is your market growth rate (current year)?,Percentage,%,No,Yes - Varies by industry,Yes - Varies by region,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,External Environment,EXTERNAL-001b,Demand Forecast Accuracy,What is your demand forecast accuracy?,Percentage,%,Yes - 1-5 scale,Yes - Varies by model,No,"Revenue at Risk, Opex at Risk"
Risk Assessment,Economics,External Environment,EXTERNAL-002a,Regulatory Compliance Rate,What is your current regulatory compliance rate?,Percentage,%,No,Yes - Regulated industries,Yes - Varies by region,"Opex at Risk, Reputation at Risk"
Risk Assessment,Economics,External Environment,EXTERNAL-002b,Anticipated Regulatory Changes,How many regulatory changes are anticipated in the next 12 months?,Number,Count,No,Yes - Regulated industries,Yes - Varies by region,"Capex at Risk, Opex at Risk"
Risk Assessment,Economics,External Environment,EXTERNAL-003a,Direct Competitors Count,How many direct competitors do you have?,Number,Count,No,No,Yes - Competition varies,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,External Environment,EXTERNAL-003b,New Entrants,How many new entrants entered your market in the past 12 months?,Number,Count,No,No,Yes - Varies by market maturity,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,External Environment,EXTERNAL-004a,Revenue Elasticity to GDP,What is your revenue elasticity to GDP?,Ratio,Ratio,Yes - 1-5 scale,Yes - Discretionary vs essential,Yes - Economic conditions vary,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,External Environment,EXTERNAL-004b,Revenue from Stable Economies,What percentage of revenue comes from stable economies?,Percentage,%,Yes - 1-5 scale,No,Yes - Economic stability varies,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Governance,GOVERN-001a,Independent Directors,How many independent directors are on your board?,Number,Count,Yes - 1-5 scale,No,Yes - Expectations vary,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Governance,GOVERN-001b,Board Meetings Frequency,How many board meetings do you hold per year?,Number,Count per year,No,No,No,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Governance,GOVERN-002a,Compliance Program Age,How many years has your compliance program been in place?,Number (years),Years,Yes - 1-5 scale,Yes - Varies by industry,Yes - Requirements vary,"Opex at Risk, Reputation at Risk"
Risk Assessment,Economics,Governance,GOVERN-002b,Compliance Violations,How many compliance violations occurred in the past 3 years?,Number,Count,No,Yes - Varies by industry,Yes - Varies by region,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Governance,GOVERN-003a,Board Attendance Rate,What is your board attendance rate?,Percentage,%,Yes - 1-5 scale,Yes - Public companies,No,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Governance,GOVERN-003b,Board Committees Count,How many board committees do you have?,Number,Count,No,Yes - Public companies,No,"Reputation at Risk, Governance Quality"
Risk Assessment,Economics,Governance,GOVERN-004a,ERM Program Age,How many years has your enterprise risk management program been in place?,Number (years),Years,Yes - 1-5 scale,No,No,"Enterprise Value at Risk, All Risk Metrics"
Risk Assessment,Economics,Governance,GOVERN-004b,Risk Owner Coverage,What percentage of risks have assigned risk owners?,Percentage,%,Yes - 1-5 scale,No,No,"Enterprise Value at Risk, All Risk Metrics"
