Section,Domain,Dimension,Risk_Factor_ID,Risk_Factor,Question,Response_Type,Response_Scale,Region_Specific,Risk_Metrics_Influenced
Risk Assessment,Economics,Business Model,BM-003,Business Model Inflexibility,Business Model Inflexibility to pivot/adapt [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,External Environment,EXT-001,Regulatory Changes Impact,Regulatory Changes impact on operations/costs [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Opex at Risk, Capex at Risk, Reputation at Risk"
Risk Assessment,Economics,External Environment,EXT-002,Macroeconomic Shocks,Macroeconomic Shocks impact on results [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Revenue at Risk, Opex at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,External Environment,EXT-003,Geopolitical/Supply Disruption,Geopolitical/Supply Disruption risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Opex at Risk, Product/Service Availability at Risk"
Risk Assessment,Economics,Governance,GOV-001,Decision/Oversight Weakness,Decision/Oversight weakness causing strategic/operational issues [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Governance,GOV-002,Compliance Breach,Compliance Breach risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Opex at Risk, Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Governance,GOV-003,Accountability/Transparency Gaps,Accountability/Transparency gaps [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Brand,BRD-001,Reputation Event Impact,Reputation Event Impact from single adverse event [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Reputation at Risk, Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Brand,BRD-002,Customer Trust Erosion,Customer Trust Erosion risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Revenue at Risk, Reputation at Risk"
Risk Assessment,Enablers,Brand,BRD-003,Brand Differentiation Weakness,Brand Differentiation weakness [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Culture,CUL-001,Change Resistance,Change Resistance [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Enablers,Culture,CUL-002,Risk Mindset Weakness,Risk Mindset undermining risk management [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Enterprise Value at Risk, All Risk Metrics"
Risk Assessment,Enablers,Culture,CUL-003,Engagement/Morale Risk,Engagement/Morale risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Productivity Time at Risk, Opex at Risk"
Risk Assessment,Enablers,People,PPL-001,Talent Shortage,Talent Shortage risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Productivity Time at Risk, Revenue at Risk"
Risk Assessment,Enablers,People,PPL-002,Key Person Dependency,Key Person Dependency [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Productivity Time at Risk, Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,People,PPL-003,Workforce Capacity Insufficiency,Workforce Capacity insufficiency [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Productivity Time at Risk, Revenue at Risk"
Risk Assessment,Enablers,Technology,TECH-001,IT Outage Risk,IT Outage risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Service Availability at Risk, Productivity Time at Risk, Opex at Risk"
Risk Assessment,Enablers,Technology,TECH-002,Cybersecurity Incident,Cybersecurity incident risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Opex at Risk, Capex at Risk, Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Technology,TECH-003,Obsolete Systems/Technical Debt,Obsolete Systems / technical debt risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Capex at Risk, Service Availability at Risk, Productivity Time at Risk"
Risk Assessment,Enablers,Third Parties,TP-001,Supplier/Partner Disruption,Supplier/Partner Disruption risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Opex at Risk, Product/Service Availability at Risk, Revenue at Risk"
Risk Assessment,Enablers,Third Parties,TP-002,Third-Party Oversight Weakness,Third-Party Oversight weakness [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Opex at Risk, Service Availability at Risk"
Risk Assessment,Enablers,Third Parties,TP-003,Concentration (Single Supplier),Concentration (single supplier) risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Opex at Risk, Product/Service Availability at Risk"
Risk Assessment,Execution,Innovation,INN-001,Innovation Gap vs Competitors,Innovation Gap vs competitors [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Revenue at Risk, Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Execution,Innovation,INN-002,Project Failure/Delay,Project Failure/Delay risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Stratex at Risk, Capex at Risk"
Risk Assessment,Execution,Innovation,INN-003,Risk Aversion Limiting Experimentation,Risk Aversion limiting experimentation [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Stratex at Risk, Revenue at Risk"
Risk Assessment,Execution,Change,CHG-001,Change Initiative Failure,Change Initiative Failure risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Stratex at Risk, Capex at Risk"
Risk Assessment,Execution,Change,CHG-002,Change Resistance Undermining,Change Resistance undermining programs [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Change,CHG-003,Change Fatigue/Overload,Change Fatigue/Overload [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Productivity Time at Risk, Stratex at Risk"
Risk Assessment,Execution,Processes,PRC-001,Process Failure Causing Disruption,Process Failure causing disruption [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Opex at Risk, Productivity Time at Risk, Service Availability at Risk"
Risk Assessment,Execution,Processes,PRC-002,Process Gaps/Lack of Standardization,Process Gaps / lack of standardization [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Productivity Time at Risk, Opex at Risk"
Risk Assessment,Execution,Processes,PRC-003,Inefficiency vs Expectations,Inefficiency vs expectations [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Opex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Products & Services,PRD-001,Quality/Recall or Service Outage,Quality/Recall or major service outage risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Product/Service Availability at Risk, Reputation at Risk, Revenue at Risk"
Risk Assessment,Execution,Products & Services,PRD-002,Portfolio Relevance Obsolescence,Portfolio Relevance obsolescence risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Execution,Products & Services,PRD-003,Delivery Failure,Delivery (on-time/in-full) failure risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Revenue at Risk, Reputation at Risk"
Risk Assessment,Value,Annual Results,RES-001,Target Miss Risk This Year,Target Miss risk this year [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Annual Results,RES-002,Short-term vs Long-term Trade-off,Short-term vs Long-term trade-off risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Annual Results,RES-003,Forecast Variability,Forecast Variability risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Revenue at Risk, Opex at Risk"
Risk Assessment,Value,Strategic Goals,STR-001,Strategic Failure,Strategic Failure risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Strategic Goals,STR-002,Unforeseen Disruption to Roadmap,Unforeseen Disruption to roadmap [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Stratex at Risk, Revenue at Risk"
Risk Assessment,Value,Strategic Goals,STR-003,Alignment Risk (Projects vs Strategy),Alignment risk (projects vs strategy) [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Value,Reputation,REP-001,Major Incident Reputational Damage,Major Incident reputational damage risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Reputation at Risk, Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Reputation,REP-002,Stakeholder Trust Loss,Stakeholder Trust loss risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Reputation,REP-003,Media/Social Vulnerability,Media/Social Vulnerability [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Reputation at Risk, Revenue at Risk"
