Section,Domain,Dimension,Risk_Factor_ID,Risk_Factor,Question,Response_Type,Response_Units,Fallback_Scale,Business_Model_Specific,Geography_Specific,Risk_Metrics_Influenced
Risk Assessment,Enablers,Culture,CULTURE-002a,Strategy Articulation,What percentage of employees can articulate your company strategy?,Percentage,%,"Yes - 1-5 scale if not measured",No,No,"Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Culture,CULTURE-002b,Cultural Barriers,How many cultural barriers have been identified to strategy execution?,Number,Count,No,No,No,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Enablers,Technology,TECH-001a,System Uptime,What is your annual average system uptime?,Percentage,%,"Yes - 1-5 scale if not tracked",No,No,"Service Availability at Risk, Productivity Time at Risk, Opex at Risk"
Risk Assessment,Enablers,Technology,TECH-001b,Critical System Failures,How many critical system failures occurred in the past 12 months?,Number,Count,No,No,No,"Service Availability at Risk, Opex at Risk"
Risk Assessment,Enablers,Technology,TECH-002a,Security Incidents,How many security incidents occurred in the past 12 months?,Number,Count,No,No,No,"Opex at Risk, Capex at Risk, Reputation at Risk"
Risk Assessment,Enablers,Technology,TECH-002b,Security Patch Coverage,What percentage of systems have current security patches?,Percentage,%,"Yes - 1-5 scale if not tracked",No,No,"Opex at Risk, Reputation at Risk"
Risk Assessment,Enablers,People,PEOPLE-001a,Key Person Dependencies,How many roles have single-person dependencies?,Number,Count,No,No,No,"Productivity Time at Risk, Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,People,PEOPLE-001b,Critical Knowledge Documentation,What percentage of critical knowledge is documented?,Percentage,%,"Yes - 1-5 scale if not assessed",No,No,"Productivity Time at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,People,PEOPLE-002a,Employee Retention Rate,What is your annual employee retention rate?,Percentage,%,No,No,No,"Opex at Risk, Productivity Time at Risk, Revenue at Risk"
Risk Assessment,Enablers,People,PEOPLE-002b,High Performer Retention,What is your retention rate for high performers?,Percentage,%,"Yes - 1-5 scale if not tracked separately",No,No,"Revenue at Risk, Productivity Time at Risk"
Risk Assessment,Enablers,Third Parties,THIRD-001a,Single Source Suppliers,How many critical single-source suppliers do you have?,Number,Count,No,Yes - Manufacturing/B2B,No,"Opex at Risk, Product at Risk"
Risk Assessment,Enablers,Third Parties,THIRD-001b,Supplier Concentration,What percentage of spend is with your top supplier?,Percentage,%,No,Yes - Manufacturing/B2B,No,"Opex at Risk, Service Availability at Risk"
Risk Assessment,Enablers,Third Parties,THIRD-002a,Third-Party Disruptions,How many third-party service disruptions occurred in the past 12 months?,Number,Count,No,No,No,"Service Availability at Risk, Opex at Risk"
Risk Assessment,Enablers,Third Parties,THIRD-002b,Third-Party SLA Compliance,What is the average third-party SLA compliance rate?,Percentage,%,"Yes - 1-5 scale if not tracked",No,No,"Service Availability at Risk, Opex at Risk"
Risk Assessment,Execution,Processes,PROCESS-001a,Process Efficiency,What is your overall process efficiency rating?,Percentage,%,"Yes - 1-5 scale if not measured",Yes - Manufacturing/Operations,No,"Opex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Processes,PROCESS-001b,Cycle Time vs Benchmark,What is your average cycle time vs. industry benchmark?,Percentage (variance),% variance,"Yes - 1-5 scale if benchmark unknown",No,No,"Productivity Time at Risk, Opex at Risk"
Risk Assessment,Execution,Processes,PROCESS-002a,Process Documentation Coverage,What percentage of critical processes are documented?,Percentage,%,"Yes - 1-5 scale if not assessed",No,No,"Productivity Time at Risk, Enterprise Value at Risk"
Risk Assessment,Execution,Processes,PROCESS-002b,Documentation Currency,How many processes have outdated documentation?,Number,Count,No,No,No,"Productivity Time at Risk, Opex at Risk"
Risk Assessment,Execution,Change,CHANGE-001a,Change Readiness Score,What is your change readiness assessment score?,Score (0-100),Score,"Yes - 1-5 scale if not assessed",No,No,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Change,CHANGE-001b,Change Training Coverage,What percentage of employees received change management training?,Percentage,%,"Yes - 1-5 scale if not tracked",No,No,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Change,CHANGE-002a,Change Success Rate,What is your change initiative success rate (past 12 months)?,Percentage,%,No,No,No,"Stratex at Risk, Capex at Risk"
Risk Assessment,Execution,Change,CHANGE-002b,Change Time Overrun,What is the average time overrun for change projects?,Percentage,% over planned,"Yes - 1-5 scale if not tracked",No,No,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Innovation,INNOV-001a,Innovation Spending,What is your annual R&D/innovation spending as a percentage of revenue?,Percentage,%,No,Yes - Tech/SaaS models,No,"Stratex at Risk, Revenue at Risk"
Risk Assessment,Execution,Innovation,INNOV-001b,Innovation Initiatives,How many innovation initiatives are currently underway?,Number,Count,No,Yes - Tech/SaaS models,No,"Stratex at Risk, Capex at Risk"
Risk Assessment,Execution,Innovation,INNOV-002a,Innovation Success Rate,What is your innovation success rate (past 3 years)?,Percentage,%,"Yes - 1-5 scale if not tracked",Yes - Tech/SaaS models,No,"Stratex at Risk, Revenue at Risk"
Risk Assessment,Execution,Innovation,INNOV-002b,Time to Market,What is your average time from concept to market?,Number (months),Months,No,Yes - Product-based models,No,"Revenue at Risk, Stratex at Risk"
Risk Assessment,Execution,Products & Services,PRODUCT-001a,Defect Rate,What is your product/service defect rate?,Percentage or per thousand,%,No,Yes - Manufacturing/Product-based,No,"Product at Risk, Reputation at Risk"
Risk Assessment,Execution,Products & Services,PRODUCT-001b,Return/Refund Rate,What is your return/refund rate?,Percentage,%,No,Yes - Product-based models,No,"Revenue at Risk, Reputation at Risk"
Risk Assessment,Execution,Products & Services,PRODUCT-002a,Market Share,What is your market share in your primary segment?,Percentage,%,"Yes - 1-5 scale if not known",No,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Execution,Products & Services,PRODUCT-002b,LTV to CAC Ratio,What is your customer lifetime value to customer acquisition cost ratio?,Ratio,Ratio (X:1),"Yes - 1-5 scale if not calculated",Yes - SaaS/Subscription models,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Annual Results,RESULTS-001a,Revenue Variance,What is your average annual revenue variance?,Percentage,%,No,Yes - Subscription has advantage,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Annual Results,RESULTS-001b,Recurring Revenue,What percentage of your revenue is recurring?,Percentage,%,No,Yes - Subscription models,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Annual Results,RESULTS-002a,Net Profit Margin,What is your net profit margin?,Percentage,%,No,No,No,"Opex at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Annual Results,RESULTS-002b,Cash Burn Rate,What is your monthly cash burn rate (if applicable)?,Currency ($),$ per month,"N/A for profitable companies",No,No,"Opex at Risk, Capex at Risk"
Risk Assessment,Value,Strategic Goals,GOALS-001a,Goal Achievement Rate,What is your strategic goal achievement rate (current year)?,Percentage,%,No,No,No,"Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Strategic Goals,GOALS-001b,Goals Behind Schedule,How many strategic goals are behind schedule?,Number,Count,No,No,No,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Value,Strategic Goals,GOALS-002a,Strategy Understanding,What percentage of employees understand the top 3 strategic priorities?,Percentage,%,"Yes - 1-5 scale if not surveyed",No,No,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Value,Strategic Goals,GOALS-002b,Strategic Pivots,How many strategic pivots occurred in the past 3 years?,Number,Count,No,No,No,"Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Reputation,REPUTATION-001a,Customer Satisfaction Score,What is your customer satisfaction (CSAT) score?,Percentage,%,"Yes - 1-5 scale if not measured",No,No,"Reputation at Risk, Revenue at Risk"
Risk Assessment,Value,Reputation,REPUTATION-001b,Customer Churn Rate,What is your annual customer churn rate?,Percentage,%,No,Yes - Subscription models,No,"Revenue at Risk, Reputation at Risk"
Risk Assessment,Value,Reputation,REPUTATION-002a,Online Reputation Rating,What is your average online reputation rating?,Rating (1-5 scale),Rating out of 5,No,No,No,"Reputation at Risk, Revenue at Risk"
Risk Assessment,Value,Reputation,REPUTATION-002b,Negative Media Mentions,What percentage of media mentions are negative?,Percentage,%,"Yes - 1-5 scale if not tracked",No,No,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Financials,FINANCIAL-001a,Current Ratio,What is your current ratio?,Ratio,Ratio,"Yes - 1-5 scale if not calculated",No,No,"Opex at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Financials,FINANCIAL-001b,Cash Runway,How many months of cash runway do you have?,Number (months),Months,No,No,Yes - Currency stability varies,"Capex at Risk, Opex at Risk"
Risk Assessment,Economics,Financials,FINANCIAL-002a,Current Cash Balance,What is your current cash and equivalents balance?,Currency ($),$,No,No,Yes - Funding availability varies,"Capex at Risk, Stratex at Risk"
Risk Assessment,Economics,Financials,FINANCIAL-002b,Available Credit,What is your total available credit?,Currency ($),$,"Yes - 1-5 scale if not applicable",No,Yes - Credit access varies,"Capex at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Business Model,BUSMODEL-001a,Years with Current Model,How many years have you operated with your current business model?,Number (years),Years,No,Yes - Varies by model,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Business Model,BUSMODEL-001b,Business Model Adaptations,How many times have you successfully adapted your business model (past 3 years)?,Number,Count,No,Yes - Varies by model,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Business Model,BUSMODEL-002a,Largest Customer Revenue,What percentage of revenue comes from your largest customer?,Percentage,%,No,No,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Business Model,BUSMODEL-002b,Revenue Stream Count,How many distinct revenue streams do you have?,Number,Count,No,No,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,External Environment,EXTERNAL-001a,Market Growth Rate,What is your market growth rate (current year)?,Percentage,%,No,Yes - Varies by industry,Yes - Varies by region,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,External Environment,EXTERNAL-001b,Demand Forecast Accuracy,What is your demand forecast accuracy?,Percentage,%,"Yes - 1-5 scale if not tracked",Yes - Varies by model,No,"Revenue at Risk, Opex at Risk"
Risk Assessment,Economics,External Environment,EXTERNAL-002a,Regulatory Compliance Rate,What is your current regulatory compliance rate?,Percentage,%,No,Yes - Regulated industries,Yes - Varies by region,"Opex at Risk, Reputation at Risk"
Risk Assessment,Economics,External Environment,EXTERNAL-002b,Anticipated Regulatory Changes,How many regulatory changes are anticipated in the next 12 months?,Number,Count,No,Yes - Regulated industries,Yes - Varies significantly by region,"Capex at Risk, Opex at Risk"
Risk Assessment,Economics,Governance,GOVERN-001a,Independent Directors,How many independent directors are on your board?,Number,Count,"Yes - 1-5 scale for overall governance",No,Yes - Expectations vary by region,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Governance,GOVERN-001b,Board Meetings Frequency,How many board meetings do you hold per year?,Number,Count per year,No,No,No,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Governance,GOVERN-002a,Compliance Program Age,How many years has your compliance program been in place?,Number (years),Years,"Yes - 1-5 scale if no formal program",Yes - Varies by industry,Yes - Requirements vary by region,"Opex at Risk, Reputation at Risk"
Risk Assessment,Economics,Governance,GOVERN-002b,Compliance Violations,How many compliance violations occurred in the past 3 years?,Number,Count,No,Yes - Varies by industry,Yes - Varies by region,"Reputation at Risk, Enterprise Value at Risk"
