Section,Domain,Dimension,Risk_Factor_ID,Risk_Factor,Question,Response_Type,Response_Unit,Region_Specific,Risk_Metrics_Influenced
Risk Assessment,Economics,Governance,GOV-001,Governance/Control Incidents,Governance/Control Incidents Last Year (#) [Provide value for each selected region],Number,Count,Yes,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Governance,GOV-002,Regulatory Fines,Regulatory Fines Last Year (#) [Provide value for each selected region],Number,Count,Yes,"Opex at Risk, Reputation at Risk"
Risk Assessment,Economics,Governance,GOV-003,Decision Reversals,Decision Reversals due to oversight issues (%) [Provide value for each selected region],Percentage,%,Yes,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Enablers,Brand,BRD-001,Major PR Incidents,Major PR Incidents Last Year (#) [Provide value for each selected region],Number,Count,Yes,"Reputation at Risk, Revenue at Risk"
Risk Assessment,Enablers,Brand,BRD-002,Customer Loss in Scandal,Customer Loss in serious scandal (%) [Provide value for each selected region],Percentage,%,Yes,"Revenue at Risk, Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Brand,BRD-003,Brand Mgmt Investment,Brand Mgmt Investment (% of marketing/PR) [Provide value for each selected region],Percentage,%,Yes,"Reputation at Risk, Revenue at Risk"
Risk Assessment,Enablers,Culture,CUL-001,Employee Turnover Rate,Employee Turnover Rate (%) [Provide value for each selected region],Percentage,%,Yes,"Opex at Risk, Productivity Time at Risk"
Risk Assessment,Enablers,Culture,CUL-002,Ethics/Misconduct Reports,Ethics/Misconduct Reports (#) [Provide value for each selected region],Number,Count,Yes,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Culture,CUL-003,Training Participation,Training Participation (% of employees) [Provide value for each selected region],Percentage,%,Yes,"Productivity Time at Risk, Risk Management Quality"
Risk Assessment,Enablers,People,PPL-001,Vacancy/Hard-to-Fill Rate,Vacancy/Hard-to-Fill Rate (%) [Provide value for each selected region],Percentage,%,Yes,"Productivity Time at Risk, Revenue at Risk"
Risk Assessment,Enablers,People,PPL-002,Succession Gaps,Succession Gaps (key roles without successor) (#) [Provide value for each selected region],Number,Count,Yes,"Productivity Time at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,People,PPL-003,Voluntary Turnover,Voluntary Turnover (%) [Provide value for each selected region],Percentage,%,Yes,"Opex at Risk, Productivity Time at Risk"
Risk Assessment,Enablers,Technology,TECH-001,Annual IT Downtime,Annual IT Downtime (hours) [Provide value for each selected region],Number,Hours,Yes,"Service Availability at Risk, Productivity Time at Risk"
Risk Assessment,Enablers,Technology,TECH-002,Critical System RTO Target,Critical System RTO Target (hours) [Provide value for each selected region],Number,Hours,Yes,"Service Availability at Risk, Opex at Risk"
Risk Assessment,Enablers,Technology,TECH-003,Cyber Incidents,Significant Cyber Incidents Last Year (#) [Provide value for each selected region],Number,Count,Yes,"Opex at Risk, Capex at Risk, Reputation at Risk"
Risk Assessment,Enablers,Third Parties,TP-001,Top Supplier Spend Concentration,Top Supplier Spend Concentration (%) [Provide value for each selected region],Percentage,%,Yes,"Opex at Risk, Service Availability at Risk"
Risk Assessment,Enablers,Third Parties,TP-002,Critical Single-Source Suppliers,Critical Single-Source Suppliers (#) [Provide value for each selected region],Number,Count,Yes,"Opex at Risk, Product/Service Availability at Risk"
Risk Assessment,Enablers,Third Parties,TP-003,Top Supplier Outage Impact,Top Supplier Outage Impact (% output/revenue) [Provide value for each selected region],Percentage,%,Yes,"Revenue at Risk, Product/Service Availability at Risk"
Risk Assessment,Execution,Innovation,INN-001,R&D/Innovation Investment,R&D/Innovation Investment (% of revenue) [Provide value for each selected region],Percentage,%,Yes,"Stratex at Risk, Revenue at Risk"
Risk Assessment,Execution,Innovation,INN-002,Failed/Cancelled Innovation,Failed/Cancelled Innovation Initiatives (#) [Provide value for each selected region],Number,Count,Yes,"Stratex at Risk, Capex at Risk"
Risk Assessment,Execution,Innovation,INN-003,Continuity of Recent Launches,Continuity of Recent Launches (% still active) [Provide value for each selected region],Percentage,%,Yes,"Revenue at Risk, Stratex at Risk"
Risk Assessment,Execution,Change,CHG-001,Major Change Initiatives,Major Change Initiatives Last Year (#) [Provide value for each selected region],Number,Count,Yes,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Change,CHG-002,Change Success Rate,Change Success Rate (%) [Provide value for each selected region],Percentage,%,Yes,"Stratex at Risk, Capex at Risk"
Risk Assessment,Execution,Change,CHG-003,Average Project Overrun,Average Project Overrun (%) [Provide value for each selected region],Percentage,%,Yes,"Stratex at Risk, Capex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Processes,PRC-001,Process Breakdowns,Significant Process Breakdowns Last Year (#) [Provide value for each selected region],Number,Count,Yes,"Opex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Processes,PRC-002,Process Automation,Process Automation (% of core processes) [Provide value for each selected region],Percentage,%,Yes,"Productivity Time at Risk, Opex at Risk"
Risk Assessment,Execution,Processes,PRC-003,Process Recovery Time,Average Process Recovery Time (hours) [Provide value for each selected region],Number,Hours,Yes,"Productivity Time at Risk, Service Availability at Risk"
Risk Assessment,Execution,Products & Services,PRD-001,Product Recalls/Service Outages,Product Recalls / Major Service Outages (#) [Provide value for each selected region],Number,Count,Yes,"Product/Service Availability at Risk, Reputation at Risk"
Risk Assessment,Execution,Products & Services,PRD-002,Revenue from Recent Products,Revenue from <3yr Products/Services (%) [Provide value for each selected region],Percentage,%,Yes,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Execution,Products & Services,PRD-003,Missed/Delayed Deliveries,Missed/Delayed Deliveries (%) [Provide value for each selected region],Percentage,%,Yes,"Revenue at Risk, Reputation at Risk"
Risk Assessment,Value,Annual Results,RES-001,Forecast Accuracy,Forecast Accuracy (actual minus target %) (%) [Provide value for each selected region],Percentage,%,Yes,"Revenue at Risk, Opex at Risk"
Risk Assessment,Value,Annual Results,RES-002,Worst Shortfall in 5 Years,Worst Shortfall in last 5 years (%) [Provide value for each selected region],Percentage,%,Yes,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Annual Results,RES-003,Years Met/Exceeded Targets,Years Met/Exceeded Targets (0-5) [Provide value for each selected region],Number,Count (0-5),Yes,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Strategic Goals,STR-001,Off-Track Strategic Initiatives,Off-Track Strategic Initiatives (#) [Provide value for each selected region],Number,Count,Yes,"Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Strategic Goals,STR-002,Strategic KPIs Achieved,Strategic KPIs Achieved Last Year (%) [Provide value for each selected region],Percentage,%,Yes,"Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Strategic Goals,STR-003,Strategic Investment Share,Strategic Investment Share (% of OpEx+CapEx) [Provide value for each selected region],Percentage,%,Yes,"Stratex at Risk, Capex at Risk"
Risk Assessment,Value,Reputation,REP-001,Negative Media/PR Incidents,Negative Media/PR Incidents (#) [Provide value for each selected region],Number,Count,Yes,"Reputation at Risk, Revenue at Risk"
Risk Assessment,Value,Reputation,REP-002,Customer Churn Rate,Customer Churn Rate (%) [Provide value for each selected region],Percentage,%,Yes,"Revenue at Risk, Reputation at Risk"
Risk Assessment,Value,Reputation,REP-003,Reputation Crisis Impact,Reputation Crisis Impact on EV/Revenue (%) [Provide value for each selected region],Percentage,%,Yes,"Reputation at Risk, Revenue at Risk, Enterprise Value at Risk"
