Section,Dimension,Question ID,Sub-Question,Question Text,Data Type,Response Options,Unit,Impact Metric 1,Impact Metric 2,Impact Metric 3,Notes
ENABLERS,Technology,Q8,o,Service Availability at Risk,Numeric Input,,Hours per Year,Service Availability at Risk,,,Financial impact
ENABLERS,Technology,Q8,p,Revenue Loss per Hour Downtime,Currency + Numeric,,"Currency Amount",,Revenue at Risk,,
ENABLERS,Technology,Q8,q,Customer Churn Risk from Outages,Numeric Input,,% of Customer Base,,,,
ENABLERS,Technology,Q9,a,Security Incidents (Past 12 Months),Numeric Input,,Number,,,,
ENABLERS,Technology,Q9,b,Data Breaches (Past 3 Years),Numeric Input,,Number,,,,
ENABLERS,Technology,Q9,c,Records Compromised (If Any),Numeric Input,,Number,,,,
ENABLERS,Technology,Q9,d,Average Cost per Security Incident,Currency + Numeric,,"Currency Amount",,,,
ENABLERS,Technology,Q9,e,% Security Patches Applied Within 30 Days,Numeric Input,,%,,,,
ENABLERS,Technology,Q9,f,% Endpoints with Updated Antivirus/EDR,Numeric Input,,%,,,,
ENABLERS,Technology,Q9,g,Critical Vulnerabilities Outstanding,Numeric Input,,Number,,,,
ENABLERS,Technology,Q9,h,Last Penetration Test Date,Date Input,,Date,,,,
ENABLERS,Technology,Q9,i,Critical Findings from Last Pen Test,Numeric Input,,Number,,,,
ENABLERS,Technology,Q9,j,Cybersecurity Budget as % of IT Budget,Numeric Input,,%,,,,
ENABLERS,Technology,Q9,k,Cyber Insurance Coverage Limit,Currency + Numeric,,"Currency Amount",,,,
ENABLERS,Technology,Q9,l,Annual Cyber Insurance Premium,Currency + Numeric,,"Currency Amount",,,,
ENABLERS,Technology,Q9,m,Security Certifications,Multi-Select,"ISO 27001, SOC 2, NIST, Other, None",,,,,
ENABLERS,Technology,Q9,n,Revenue at Risk from Major Breach,Currency or Numeric,,"Currency or % of Revenue",Revenue at Risk,,,Financial impact
ENABLERS,Technology,Q9,o,Data/IP Value at Risk,Currency + Numeric,,"Currency Amount",,,,
ENABLERS,Technology,Q9,p,Potential Regulatory Fines,Currency + Numeric,,"Currency Amount",Regulatory Fines at Risk,,,
ENABLERS,Technology,Q9,q,Reputation Impact Level,Scale 1-5,1-5 scale,,Reputation at Risk,,,
ENABLERS,Technology,Q10,a,Business-Critical Legacy Systems,Numeric Input,,Number,,,,
ENABLERS,Technology,Q10,b,Systems on Unsupported Platforms,Numeric Input,,Number,,,,
ENABLERS,Technology,Q10,c,Average Age of Core Business Systems,Numeric Input,,Years,,,,
ENABLERS,Technology,Q10,d,Annual Cost to Maintain Legacy Systems,Currency or Numeric,,"Currency or % of IT Budget",,,,
ENABLERS,Technology,Q10,e,% Applications Cloud-Native,Numeric Input,,%,,,,
ENABLERS,Technology,Q10,f,% Applications On-Premise,Numeric Input,,%,,,,
ENABLERS,Technology,Q10,g,% Applications Hybrid,Numeric Input,,%,,,,
ENABLERS,Technology,Q10,h,Active Modernization Projects,Numeric Input,,Number,,,,
ENABLERS,Technology,Q10,i,Annual Modernization Budget,Currency + Numeric,,"Currency Amount",,,,
ENABLERS,Technology,Q10,j,% IT Budget on Maintenance vs Innovation,Numeric Input,,"% Maintenance, % Innovation",,,,
ENABLERS,Technology,Q10,k,Developer Productivity Velocity,Numeric Input,,"Story Points or Features/Quarter",,,,
ENABLERS,Technology,Q10,l,Time on Bug Fixes vs New Features,Numeric Input,,"% Bugs, % Features",,,,
ENABLERS,Technology,Q10,m,Capex at Risk (Unplanned Modernization),Currency + Numeric,,"Currency Amount",Capex at Risk,,,Financial impact
ENABLERS,Technology,Q10,n,Productivity Time Lost to System Issues,Numeric Input,,FTE Days per Year,Productivity Time at Risk,,,
ENABLERS,Technology,Q10,o,Service Availability Impact,Numeric Input,,Hours Downtime per Year,Service Availability at Risk,,,
ENABLERS,People,Q11,a,Number of Critical Skills Identified,Numeric Input,,Number,,,,
ENABLERS,People,Q11,b,Number of Critical Skills with Gaps,Numeric Input,,Number,,,,
ENABLERS,People,Q11,c,% Workforce with Required Digital Skills,Numeric Input,,%,,,,
ENABLERS,People,Q11,d,Unfilled Critical Skill Positions,Numeric Input,,Number,,,,
ENABLERS,People,Q11,e,Average Time to Fill Skilled Positions,Numeric Input,,Days,,,,
ENABLERS,People,Q11,f,Offer Acceptance Rate,Numeric Input,,%,,,,
ENABLERS,People,Q11,g,Average Salary Premium to Attract Talent,Numeric Input,,% Above Market,,,,
ENABLERS,People,Q11,h,Reliance on Contractors for Critical Skills,Numeric Input,,% of Workforce,,,,
ENABLERS,People,Q11,i,% Workforce Upskilled in Past Year,Numeric Input,,%,,,,
ENABLERS,People,Q11,j,Skills Development Investment per Employee,Currency + Numeric,,"Currency Amount",,,,
ENABLERS,People,Q11,k,Internal Promotion Rate,Numeric Input,,%,,,,
ENABLERS,People,Q11,l,Productivity Time Lost to Skills Gaps,Numeric Input,,FTE Days per Year,Productivity Time at Risk,,,Financial impact
ENABLERS,People,Q11,m,Stratex at Risk (Projects Delayed),Numeric or Currency,,"% of Projects or Currency",Stratex at Risk,,,
ENABLERS,People,Q11,n,Revenue at Risk from Inability to Deliver,Numeric Input,,% of Annual Revenue,,Revenue at Risk,,
ENABLERS,People,Q12,a,Revenue per Employee,Currency + Numeric,,"Currency Amount",,,,
ENABLERS,People,Q12,b,Profit per Employee,Currency + Numeric,,"Currency Amount",,,,
ENABLERS,People,Q12,c,Productivity Change YoY,Numeric Input,,+/- %,,,,
ENABLERS,People,Q12,d,Absenteeism Rate,Numeric Input,,%,,,,
ENABLERS,People,Q12,e,Average Working Hours vs Expected,Numeric Input,,% Utilization,,,,
ENABLERS,People,Q12,f,% Employees with Current Performance Reviews,Numeric Input,,%,,,,
ENABLERS,People,Q12,g,% Employees Meeting/Exceeding Targets,Numeric Input,,%,,,,
ENABLERS,People,Q12,h,% Employees on Performance Improvement Plans,Numeric Input,,%,,,,
ENABLERS,People,Q12,i,Span of Control (Employees per Manager),Numeric Input,,Number,,,,
ENABLERS,People,Q12,j,% Time on High-Value Activities,Numeric Input,,%,,,,
ENABLERS,People,Q12,k,Administrative Burden per Employee,Numeric Input,,Hours per Week,,,,
ENABLERS,People,Q12,l,Productivity Time Lost per Year,Numeric Input,,FTE Days,Productivity Time at Risk,,,Financial impact
ENABLERS,People,Q12,m,Revenue Opportunity Loss from Low Productivity,Numeric Input,,% of Annual Revenue,,Revenue at Risk,,
ENABLERS,People,Q12,n,Opex Impact from Inefficiency,Currency + Numeric,,"Currency Amount",,Opex at Risk,,
ENABLERS,People,Q13,a,Lost Time Injury Frequency Rate (LTIFR),Numeric Input,,Per Million Hours,,,,
ENABLERS,People,Q13,b,Workplace Injuries (Past 12 Months),Numeric Input,,Number,,,,
ENABLERS,People,Q13,c,Serious Injuries/Fatalities (Past 3 Years),Numeric Input,,Number,,,,
ENABLERS,People,Q13,d,Average Days Lost per Injury,Numeric Input,,Days,,,,
ENABLERS,People,Q13,e,OSHA Recordable Incident Rate,Numeric Input,,Number,,,,
ENABLERS,People,Q13,f,Sick Leave Days per Employee per Year,Numeric Input,,Days,,,,
ENABLERS,People,Q13,g,% Workforce Using EAP/Wellbeing Services,Numeric Input,,%,,,,
ENABLERS,People,Q13,h,Mental Health-Related Absences,Numeric Input,,Days per Year (Total),,,,
ENABLERS,People,Q13,i,Burnout Index,Numeric Input,,%,,,,"If measured, otherwise N/A"
ENABLERS,People,Q13,j,H&S Budget as % of Opex,Numeric Input,,%,,,,
ENABLERS,People,Q13,k,Days Since Last Recordable Incident,Numeric Input,,Days,,,,
ENABLERS,People,Q13,l,% Workforce with Current Safety Training,Numeric Input,,%,,,,
ENABLERS,People,Q13,m,Productivity Time Lost (Sick/Injuries),Numeric Input,,FTE Days per Year,Productivity Time at Risk,,,Financial impact
ENABLERS,People,Q13,n,Workers Comp/Insurance Costs,Currency + Numeric,,"Currency per Year",,Opex at Risk,,
ENABLERS,People,Q13,o,Potential Regulatory Fines,Currency + Numeric,,"Currency Amount",Regulatory Fines at Risk,,,
ENABLERS,People,Q13,p,Reputation Impact Level,Scale 1-5,1-5 scale,,Reputation at Risk,,,
ENABLERS,Third Parties,Q14,a,Total Number of Suppliers/Vendors,Numeric Input,,Number,,,,
ENABLERS,Third Parties,Q14,b,Number of Critical Suppliers,Numeric Input,,Number,,,,
ENABLERS,Third Parties,Q14,c,Single-Source Suppliers (No Alternative),Numeric Input,,Number,,,,
ENABLERS,Third Parties,Q14,d,Revenue Dependent on Largest Supplier,Numeric Input,,% of Total Revenue,,,,
ENABLERS,Third Parties,Q14,e,Top 3 Suppliers % of Total Procurement,Numeric Input,,%,,,,
ENABLERS,Third Parties,Q14,f,Countries Where Critical Suppliers Located,Numeric Input,,Number,,,,
ENABLERS,Third Parties,Q14,g,% Supply from Single Country,Numeric Input,,%,,,,
ENABLERS,Third Parties,Q14,h,% Supply from Geopolitically Risky Regions,Numeric Input,,%,,,,
ENABLERS,Third Parties,Q14,i,Critical Suppliers with Financial Concerns,Numeric Input,,Number,,,,
ENABLERS,Third Parties,Q14,j,Critical Suppliers Assessed in Past Year,Numeric Input,,"Number Assessed out of Total",,,,
ENABLERS,Third Parties,Q14,k,Average Supplier Payment Terms,Numeric Input,,Days,,,,
ENABLERS,Third Parties,Q14,l,Revenue at Risk if Critical Supplier Fails,Currency or Numeric,,"% or Currency",Revenue at Risk,,,Financial impact
ENABLERS,Third Parties,Q14,m,Opex Increase if Forced to Switch,Currency or Numeric,,"% or Currency",,Opex at Risk,,
ENABLERS,Third Parties,Q14,n,Service Disruption Potential,Numeric Input,,Hours or Days,Service Availability at Risk,,,
ENABLERS,Third Parties,Q15,a,% Vendors with Signed SLAs,Numeric Input,,%,,,,
ENABLERS,Third Parties,Q15,b,% Critical Vendors Assessed Annually,Numeric Input,,%,,,,
ENABLERS,Third Parties,Q15,c,Average Vendor Performance Score,Numeric Input,,% or /10,,,,
ENABLERS,Third Parties,Q15,d,Vendor Performance Issues (Past Year),Numeric Input,,Number,,,,
ENABLERS,Third Parties,Q15,e,Vendor Contract Disputes (Past Year),Numeric Input,,Number,,,,
ENABLERS,Third Parties,Q15,f,Vendor Review Frequency,Multiple Choice,"Monthly, Quarterly, Annually, Ad hoc",,,,,
ENABLERS,Third Parties,Q15,g,Vendor Audits Conducted (Past Year),Numeric Input,,Number,,,,
ENABLERS,Third Parties,Q15,h,% Vendors with Business Continuity Plans,Numeric Input,,%,,,,
ENABLERS,Third Parties,Q15,i,Vendor-Caused Incidents (Past Year),Numeric Input,,Number,,,,
ENABLERS,Third Parties,Q15,j,% Opex Spent on Third-Party Services,Numeric Input,,%,,,,
ENABLERS,Third Parties,Q15,k,Business Processes Outsourced,Numeric Input,,Number,,,,
ENABLERS,Third Parties,Q15,l,% IT Operations Outsourced,Numeric Input,,%,,,,
ENABLERS,Third Parties,Q15,m,Opex at Risk from Vendor Failures,Currency + Numeric,,"Currency Amount",Opex at Risk,,,Financial impact
ENABLERS,Third Parties,Q15,n,Service Disruption Hours from Vendors,Numeric Input,,Hours per Year,Service Availability at Risk,,,
ENABLERS,Third Parties,Q15,o,Reputation Impact from Vendor Failures,Scale 1-5,1-5 scale,,Reputation at Risk,,,
ENABLERS,Third Parties,Q16,a,Average Lead Time from Suppliers,Numeric Input,,Days or Weeks,,,,
ENABLERS,Third Parties,Q16,b,Inventory Buffer,Numeric Input,,Days of Supply,,,,
ENABLERS,Third Parties,Q16,c,Number of Alternative Supply Routes,Numeric Input,,Number,,,,
ENABLERS,Third Parties,Q16,d,% Supply Chain with Real-Time Visibility,Numeric Input,,%,,,,
ENABLERS,Third Parties,Q16,e,Supply Chain Disruptions (Past 12 Months),Numeric Input,,Number,,,,
ENABLERS,Third Parties,Q16,f,Total Days of Delay from Disruptions,Numeric Input,,Days (Past Year),,,,
ENABLERS,Third Parties,Q16,g,Cost of Supply Chain Disruptions,Currency + Numeric,,"Currency (Past Year)",,,,
ENABLERS,Third Parties,Q16,h,% Deliveries On-Time In-Full (OTIF),Numeric Input,,%,,,,
ENABLERS,Third Parties,Q16,i,% Critical Suppliers with Backup Alternatives,Numeric Input,,%,,,,
ENABLERS,Third Parties,Q16,j,Supply Chain Insurance Coverage,Currency or None,,"Currency Amount or None",,,,
ENABLERS,Third Parties,Q16,k,Geographic Diversification,Multiple Choice or Numeric,"Number of Regions, Low, Medium, High",,,,,
ENABLERS,Third Parties,Q16,l,Revenue at Risk from Supply Chain Failure,Numeric Input,,% of Annual Revenue,Revenue at Risk,,,Financial impact
ENABLERS,Third Parties,Q16,m,Product Delivery Delay Risk,Numeric Input,,Days (Average Delay),,Product at Risk,,
ENABLERS,Third Parties,Q16,n,Customer Churn Risk from Delays,Numeric Input,,% of Customer Base,,,,
EXECUTION,Processes,Q17,a,Overall Equipment Effectiveness (OEE),Numeric Input,,%,,,,"Or similar metric"
EXECUTION,Processes,Q17,b,First-Pass Yield Rate,Numeric Input,,%,,,,
EXECUTION,Processes,Q17,c,Defect Rate,Numeric Input,,"% or Defects per Million",,,,
EXECUTION,Processes,Q17,d,Rework Rate,Numeric Input,,%,,,,
EXECUTION,Processes,Q17,e,Cycle Time vs Target,Numeric Input,,% of Target,,,,"100% = on target"
EXECUTION,Processes,Q17,f,% Processes Documented and Standardized,Numeric Input,,%,,,,
EXECUTION,Processes,Q17,g,% Processes Reviewed in Past Year,Numeric Input,,%,,,,
EXECUTION,Processes,Q17,h,Process Improvement Initiatives (Past Year),Numeric Input,,Number,,,,
EXECUTION,Processes,Q17,i,Annual Savings from Process Improvements,Currency + Numeric,,"Currency Amount",,,,
EXECUTION,Processes,Q17,j,Process Automation Level,Numeric Input,,% of Processes,,,,
EXECUTION,Processes,Q17,k,Operating Expense Ratio (Opex/Revenue),Numeric Input,,%,,,,
EXECUTION,Processes,Q17,l,Operating Expense Trend YoY,Numeric Input,,+/- %,,,,
