Section,Domain,Dimension,Risk_Factor_ID,Risk_Factor,Question,Response_Type,Response_Scale,Risk_Metrics_Influenced
Risk Assessment,Enablers,Culture,CUL-001,Change Resistance,Change Resistance,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Enablers,Culture,CUL-002,Risk Mindset Weakness,Risk Mindset undermining risk management,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Enterprise Value at Risk, All Risk Metrics"
Risk Assessment,Enablers,Culture,CUL-003,Engagement/Morale Risk,Engagement/Morale risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Productivity Time at Risk, Opex at Risk"
Risk Assessment,Enablers,People,PPL-001,Talent Shortage,Talent Shortage risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Productivity Time at Risk, Revenue at Risk"
Risk Assessment,Enablers,People,PPL-002,Key Person Dependency,Key Person Dependency,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Productivity Time at Risk, Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,People,PPL-003,Workforce Capacity Insufficiency,Workforce Capacity insufficiency,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Productivity Time at Risk, Revenue at Risk"
Risk Assessment,Enablers,Technology,TECH-001,IT Outage Risk,IT Outage risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Service Availability at Risk, Productivity Time at Risk, Opex at Risk"
Risk Assessment,Enablers,Technology,TECH-002,Cybersecurity Incident,Cybersecurity incident risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Opex at Risk, Capex at Risk, Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Technology,TECH-003,Obsolete Systems/Technical Debt,Obsolete Systems / technical debt risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Capex at Risk, Service Availability at Risk, Productivity Time at Risk"
Risk Assessment,Enablers,Third Parties,TP-001,Supplier/Partner Disruption,Supplier/Partner Disruption risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Opex at Risk, Product/Service Availability at Risk, Revenue at Risk"
Risk Assessment,Enablers,Third Parties,TP-002,Third-Party Oversight Weakness,Third-Party Oversight weakness,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Opex at Risk, Service Availability at Risk"
Risk Assessment,Enablers,Third Parties,TP-003,Concentration (Single Supplier),Concentration (single supplier) risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Opex at Risk, Product/Service Availability at Risk"
Risk Assessment,Execution,Innovation,INN-001,Innovation Gap vs Competitors,Innovation Gap vs competitors,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Revenue at Risk, Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Execution,Innovation,INN-002,Project Failure/Delay,Project Failure/Delay risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Stratex at Risk, Capex at Risk"
Risk Assessment,Execution,Innovation,INN-003,Risk Aversion Limiting Experimentation,Risk Aversion limiting experimentation,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Stratex at Risk, Revenue at Risk"
Risk Assessment,Execution,Change,CHG-001,Change Initiative Failure,Change Initiative Failure risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Stratex at Risk, Capex at Risk"
Risk Assessment,Execution,Change,CHG-002,Change Resistance Undermining,Change Resistance undermining programs,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Change,CHG-003,Change Fatigue/Overload,Change Fatigue/Overload,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Productivity Time at Risk, Stratex at Risk"
Risk Assessment,Execution,Processes,PRC-001,Process Failure Causing Disruption,Process Failure causing disruption,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Opex at Risk, Productivity Time at Risk, Service Availability at Risk"
Risk Assessment,Execution,Processes,PRC-002,Process Gaps/Lack of Standardization,Process Gaps / lack of standardization,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Productivity Time at Risk, Opex at Risk"
Risk Assessment,Execution,Processes,PRC-003,Inefficiency vs Expectations,Inefficiency vs expectations,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Opex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Products & Services,PRD-001,Quality/Recall or Service Outage,Quality/Recall or major service outage risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Product/Service Availability at Risk, Reputation at Risk, Revenue at Risk"
Risk Assessment,Execution,Products & Services,PRD-002,Portfolio Relevance Obsolescence,Portfolio Relevance obsolescence risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Execution,Products & Services,PRD-003,Delivery Failure,Delivery (on-time/in-full) failure risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Revenue at Risk, Reputation at Risk"
Risk Assessment,Value,Annual Results,RES-001,Target Miss Risk This Year,Target Miss risk this year,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Annual Results,RES-002,Short-term vs Long-term Trade-off,Short-term vs Long-term trade-off risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Annual Results,RES-003,Forecast Variability,Forecast Variability risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Revenue at Risk, Opex at Risk"
Risk Assessment,Value,Strategic Goals,STR-001,Strategic Failure,Strategic Failure risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Strategic Goals,STR-002,Unforeseen Disruption to Roadmap,Unforeseen Disruption to roadmap,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Stratex at Risk, Revenue at Risk"
Risk Assessment,Value,Strategic Goals,STR-003,Alignment Risk (Projects vs Strategy),Alignment risk (projects vs strategy),Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Value,Reputation,REP-001,Major Incident Reputational Damage,Major Incident reputational damage risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Reputation at Risk, Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Reputation,REP-002,Stakeholder Trust Loss,Stakeholder Trust loss risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Reputation,REP-003,Media/Social Vulnerability,Media/Social Vulnerability,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Reputation at Risk, Revenue at Risk"
