Section,Domain,Dimension,Risk_Factor_ID,Risk_Factor,Question,Response_Type,Response_Unit,Risk_Metrics_Influenced
Risk Assessment,Enablers,Third Parties,TP-002,Critical Single-Source Suppliers,Critical Single-Source Suppliers (#),Number,Count,"Opex at Risk, Product/Service Availability at Risk"
Risk Assessment,Enablers,Third Parties,TP-003,Top Supplier Outage Impact,Top Supplier Outage Impact (% output/revenue),Percentage,%,"Revenue at Risk, Product/Service Availability at Risk"
Risk Assessment,Execution,Innovation,INN-001,R&D/Innovation Investment,R&D/Innovation Investment (% of revenue),Percentage,%,"Stratex at Risk, Revenue at Risk"
Risk Assessment,Execution,Innovation,INN-002,Failed/Cancelled Innovation,Failed/Cancelled Innovation Initiatives (#),Number,Count,"Stratex at Risk, Capex at Risk"
Risk Assessment,Execution,Innovation,INN-003,Continuity of Recent Launches,Continuity of Recent Launches (% still active),Percentage,%,"Revenue at Risk, Stratex at Risk"
Risk Assessment,Execution,Change,CHG-001,Major Change Initiatives,Major Change Initiatives Last Year (#),Number,Count,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Change,CHG-002,Change Success Rate,Change Success Rate (%),Percentage,%,"Stratex at Risk, Capex at Risk"
Risk Assessment,Execution,Change,CHG-003,Average Project Overrun,Average Project Overrun (%),Percentage,%,"Stratex at Risk, Capex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Processes,PRC-001,Process Breakdowns,Significant Process Breakdowns Last Year (#),Number,Count,"Opex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Processes,PRC-002,Process Automation,Process Automation (% of core processes),Percentage,%,"Productivity Time at Risk, Opex at Risk"
Risk Assessment,Execution,Processes,PRC-003,Process Recovery Time,Average Process Recovery Time (hours),Number,Hours,"Productivity Time at Risk, Service Availability at Risk"
Risk Assessment,Execution,Products & Services,PRD-001,Product Recalls/Service Outages,Product Recalls / Major Service Outages (#),Number,Count,"Product/Service Availability at Risk, Reputation at Risk"
Risk Assessment,Execution,Products & Services,PRD-002,Revenue from Recent Products,Revenue from <3yr Products/Services (%),Percentage,%,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Execution,Products & Services,PRD-003,Missed/Delayed Deliveries,Missed/Delayed Deliveries (%),Percentage,%,"Revenue at Risk, Reputation at Risk"
Risk Assessment,Value,Annual Results,RES-001,Forecast Accuracy,Forecast Accuracy (actual minus target %) (%),Percentage,%,"Revenue at Risk, Opex at Risk"
Risk Assessment,Value,Annual Results,RES-002,Worst Shortfall in 5 Years,Worst Shortfall in last 5 years (%),Percentage,%,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Annual Results,RES-003,Years Met/Exceeded Targets,Years Met/Exceeded Targets (0-5),Number,Count (0-5),"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Strategic Goals,STR-001,Off-Track Strategic Initiatives,Off-Track Strategic Initiatives (#),Number,Count,"Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Strategic Goals,STR-002,Strategic KPIs Achieved,Strategic KPIs Achieved Last Year (%),Percentage,%,"Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Value,Strategic Goals,STR-003,Strategic Investment Share,Strategic Investment Share (% of OpEx+CapEx),Percentage,%,"Stratex at Risk, Capex at Risk"
Risk Assessment,Value,Reputation,REP-001,Negative Media/PR Incidents,Negative Media/PR Incidents (#),Number,Count,"Reputation at Risk, Revenue at Risk"
Risk Assessment,Value,Reputation,REP-002,Customer Churn Rate,Customer Churn Rate (%),Percentage,%,"Revenue at Risk, Reputation at Risk"
Risk Assessment,Value,Reputation,REP-003,Reputation Crisis Impact,Reputation Crisis Impact on EV/Revenue (%),Percentage,%,"Reputation at Risk, Revenue at Risk, Enterprise Value at Risk"
